added_by,artist,award,banner,description,downloads,host,listens,official,rating_count,rating_score,release_date,title,tracks,views
IAmMixtapes,Mike Posner,Gold,exclusive,New mixtape from Mike Posner hosted by DJ Benzi & Don Cannon,122559,Don Cannon & DJ Benzi,176620,1,433,92,11/20/2011,The Layover,21,406257
flybeats09,Shyne,Gold,exclusive,"New street album from Shyne ""Gangland"" dropping on the 12th anniversary of his debut Bad Boy album ""Shyne""

***Updated with HD Mastered files***",122701,,128730,1,384,80,09/26/2012,Gangland,18,483071
pagz13,"Lil Wayne, Juelz Santana",Gold,sponsored,"It's that new music for those Weezy heads. All no dj. 

***If you can't download go to the links tab.",122897,,367890,1,785,92,03/28/2009,My Face Can't Be Felt,23,886280
RickyRozay,MMG,Gold,exclusive,"Part 5 of ""Priorities"" from Maybach Music Group",122800,,518329,1,1299,76,10/17/2016,Priorities 5,22,1109342
MusicPlug985,Fetty Wap,Gold,,"Mixtape Download: Fetty Wap – “Two Face: Fetty Wap Or Zovier [Part. 2] (The Official Mixtape)” Hosted By @OfficialYoungRB Fetty Wap is easily the hottest artist coming out of New Jersey. This weekend, Fetty Wap delivered his new mixtape, hosted by @OfficialYoungRB . The mixtape comes after Fetty Wap’s Mixtape “Two Face: Fetty Wap Or Zovier"" Also Cover Artwork By @OzzyOz_Da_Vyrus But Follow The DJ On Instagram & Twitter @OfficialYoungRB To Stay Tuned For Any New Mixtapes Comming Soon!",123013,@OfficialYoungRB,412276,0,424,87,07/05/2015,Two Face: Fetty Wap Or Zovier 2 (The Mixtape) [Hosted By @OfficialYoungRB],30,964968
LilBtheBasedGod,"Lil B ""The BasedGod""",Gold,exclusive,"THIS 1st CLASSIC OF 2012 AND MABY THE LAST CLASSIC OF 2012 BASEDWORLD RECORDS SAYS LIL B HAS CHANGED MUSIC THATS WHY THEY BELIVE IN HIM SO MUCH - Lil B
http://www.facebook.com/LILBTHEBASEDGOD",123234,The BasedGod,114892,1,634,90,02/27/2012,Gods Father,34,454095
Share,Lil Wayne,Gold,,,124169,"DJ Whiteowl, NY CEO",184846,0,89,93,07/07/2007,New Orleans Nightmare 3,30,326061
flybeats09,Vado,Gold,exclusive,"New mixtape from VADO ""Slime Flu 5"" featuring AZ , Troy Ave , Uncle Murda , Maino , Lloyd Banks , Ace Hood , Mavado , Jadakiss , Narley Jenkins & more!",124182,We The Best,596258,1,758,92,11/01/2015,Slime Flu 5,14,1643290
BlacYoungsta,Blac Youngsta,Gold,sponsored,"Blac Youngsta presents his latest offering titled ""I'm Innocent""",124577,,489391,1,1476,78,06/09/2017,I'm Innocent,10,921868
ChrisWebby,Chris Webby,Gold,exclusive,"Here it is! Official new project from CT rep and DatPiff OG Chris Webby.  The 10 track project ""The Checkup"" is a warm up for Webby's upcoming album and features artists like Joe Budden, Fat Trel, Apathy, Jon Connor, Snow Tha Product & more!  Follow on twitter @ChrisWebby",124769,,119552,1,466,96,06/17/2014,The Checkup,10,558038
SnowManJeezy,Young Jeezy & CTE,Gold,sponsored,"New EP from CTE ""Its Tha World""",124961,,161029,1,274,86,05/30/2013,#ItsThaWorld,6,674893
flybeats09,Mike Will Made It,Gold,sponsored,"New album / mixtape from MIKE WILL MADE IT ""Ransom"" Presented by Ear Drummers",125394,Ear Drummers,152549,1,253,92,12/15/2014,Ransom,20,666629
djdrama,Young Buck,Gold,exclusive,"""10 Bodies""  by Young Buck hosted by DJ Drama & DJ Whoo Kid available now exclusively on DatPiff!",125675,DJ Drama & DJ Whoo Kid,407996,1,1911,89,07/15/2016,10 Bodies,11,877375
flybeats09,Paul Wall,Gold,exclusive,"New mixtape from Paul Wall ""No Sleep Til Houston"" Hosted by DJ Drama.  Follow on twitter @paulwallbaby @DjDrama",125410,DJ Drama,151124,1,456,92,03/07/2012,No Sleep Til Houston,16,539015
AloxNJ,Domo Genesis,Gold,sponsored,New mixtape from Domo Genesis of Odd Future,125893,,110842,1,430,96,09/21/2011,Under The Influence,14,415223
Da_ChiiNk,Tory Lanez,Gold,sponsored,"Tory Lanez takes us and fans by surprise today, with the release of his new mixtape Chixtape 2. The tape features the previously-released ""Summin"", as this project has all original production from the Canadian himself, as well as Daniel Worthy, Playback, Tim Curry and The Mekanics. You'll find 14 tracks in the project, and no features to speak of. As the title indicates, this tape is for the ladies, and thus is mainly r'n'b although we all know Tory can spit bars too.",126111,,410075,1,801,94,03/06/2014,Chixtape 2,14,907573
ReddyRell,Various Artists,Gold,sponsored,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom.,125902,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",211011,0,94,87,01/29/2015,Hip Hop TXL Vol 58,35,602844
AloxNJ,Young Dolph,Gold,sponsored,"Young Dolph presents part 5 of ""High Class Street Music"" (The Plug Best Friend)",126292,,310935,1,418,94,02/24/2015,High Class Street Music 5 (The Plug Best Friend),18,669523
flybeats09,Memphis Bleek,Gold,sponsored,"New mixtape from Memphis Bleek ""The Movement""",126393,,50065,1,103,76,04/10/2012,The Movement,13,335124
tpain,T-Pain & Lil Wayne,Gold,sponsored,"After many rumors and delays of a joint project from T-Pain & Lil Wayne, today we finally get ""T-Wayne"". Download now via DatPiff!",126504,,557052,1,3236,88,05/18/2017,T-Wayne,8,1260185
marvinrashad,Nas,Gold,,,127002,Green Lantern,224651,1,719,95,06/17/2008,The Nigger Tape,15,639931
YoGottiMurzik,Yo Gotti & Zedzilla,Gold,sponsored,"The long awaited ""Cocaine Muzik 4"" hosted by ""Mr. Gangsta Grillz"" Dj Drama!",127057,Drama,187287,1,407,90,01/12/2010,Cocaine Muzik 4: Gangsta Grillz,18,562168
lokey10bricks,Drake,Gold,,Drake @DRAKKARDNOIR & O.V.O Affiliates @theweekndxo (The Weeknd) @itsjaye (Jaye/Space Jam Jaye) @KurtisBlowJr,127361,Key,414940,0,632,91,05/13/2011,O.V.O,28,902171
Dat_Boy_Stone,MMG,Gold,sponsored,"Volume 4 of MMG's ""Priorities"" mixtape series",127570,,597680,1,1174,77,03/22/2016,Priorities 4,20,1115186
IAmMixtapes,Cory Gunz,Gold,exclusive,"Highly Anticipated Mixtape from the newest Young Money member Cory Gunz, ""Son of A Gun"" is finally here!!!!

www.twitter.com/CoryGunz
www.twitter.com/Deejayillwill
www.twitter.com/RealDJRockstar",128057,DJ ill Will & DJ Rockstar,171771,1,666,88,07/06/2011,Son Of A Gun,25,542693
Dat_Boy_Stone,Migos & Rich The Kid,Gold,sponsored,Migos & Rich The Kid presents the 4th installment of their Streets On Lock mixtape series hosted by DJ Durel,128089,DJ Durel,409514,1,598,92,10/22/2015,Streets On Lock 4,27,831607
Omizzle,Busta Rhymes & Q-Tip,Gold,sponsored,"What we have here is a brotherhood. A friendship that extends past music, but also has an extensive musical history. The Abstract & The Dragon is more-so a compilation of their work over the years with new records sprinkled in. Another cool aspect about the mixtape is that both also add verses to classic records like Busta hops on A Tribe Called Quest’s “God Lives Through.” It’s a great example of what a mixtape represents. Features from Redman, Big Daddy Kane, Missy Elliott and more",129034,"YMCMB, G.O.O.D Music, Shaheem Reid",111274,1,375,95,12/12/2013,The Abstract And The Dragon,28,471305
IAmMixtapes,Talib Kweli & Z-Trip,Gold,exclusive,New mixtape from Talib Kweli x Z-Trip,129087,Blacksmith,88148,1,285,97,09/03/2012,Attack The Block,18,422364
IAmMixtapes,Masspike Miles,Gold,exclusive,"Masspike Miles waste no time dropping another project!!
Fresh of his EP ""Say Hello To Forever"" released in Jan 2012
he's back with another sure to be classic EP ""Skky Miles""
set to release June 21st 2012 exclusivly on Datpiff.com
this will be the perfect music to ride to with that special
someone.. Trust and believe Masspike is what R&B needs
and its long over due..",129361,,75039,1,171,95,06/21/2012,Skky Miles,10,396116
ReddyRell,Various Artists,Gold,exclusive,"Hip Hop TXL presents @HipHopTXL Vol 13 hosted by @DJReddyRell, plus TXL Artist Premieres by @TabiusTate x @GotInstrumental (Follow us on Twitter). Vol 13 features the dopest tracks out (May 24 - June 3). SUBMIT YOUR SONG TO: TXLreview@gmail.com for possible song placement.",129301,DJ Reddy Rell,152791,0,104,94,06/03/2013,Hip Hop TXL Vol 13,41,581848
ReddyRell,Various Artists,Gold,exclusive,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom. Cover art by @KidEightDesigns,129119,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",160784,0,84,90,10/17/2014,Hip Hop TXL Vol 51,55,613380
YoGottiMurzik,Yo Gotti,Gold,sponsored,,129504,DJ Smallz,204699,1,341,91,06/28/2008,Cocaine Muzik,20,636048
ReddyRell,Various Artists,Gold,exclusive,Hip Hop TXL presents @HipHopTXL Vol 22 hosted by @DJReddyRell. Vol 22 features the dopest tracks out (Aug 28 - Sep 7) & includes TXL Artist Premieres from @Rico_TheBoss x @DaKingShark x @GotInstrumental. Cover Art by @A1Sosa. SUBMIT YOUR SONG to TXLreview@gmail.com for possible song placement.,129371,DJ Reddy Rell,157064,0,113,88,09/07/2013,Hip Hop TXL Vol 22,30,622403
REMYMA,Remy Ma,Gold,exclusive,"We are proud to present to you the long awaited mixtape from legendary New York MC Remy Ma!  The mixtape entitled ""I'm Around"" features 12 records with Papoose being the sole feature on the project.  Welcome Home and Welcome Back Remy Ma.",129688,,115166,1,370,89,10/31/2014,I'm Around,12,587848
IAmMixtapes,Roscoe Dash,Gold,exclusive,"New mixtape from Roscoe Dash ""2.0""",129532,,124553,1,317,91,08/14/2012,2.0,18,403927
ReddyRell,Various Artists,Gold,exclusive,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom. Cover art by @KidEightDesigns,130242,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",144308,0,90,87,09/17/2014,Hip Hop TXL Vol 49,50,583053
ReddyRell,Various Artists,Gold,exclusive,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow us on Twitter: @DJReddyRell @HipHopTXL @TheDJIceberg & Instagram: HipHopTXLdotcom. Cover art by @KidEightDesigns,130342,"DJ Reddy Rell, DJ Iceberg & HipHopTXL.com",159543,0,97,81,10/30/2014,Hip Hop TXL Vol 52,54,587015
royceda59,Royce Da 5'9,Gold,exclusive,"A long time legend in the mixtape game, (see EVERY Bar Exam) Royce 5'9 blesses his fans with a new mixtape ""Trust The Shooter"" The mixtape features 12 new records and guest appearances from Smoke DZA, Styles P, Tiara, Westside Gunn, and more. Production is handled by DJ Premier, Jahlil Beats, Araabmuzik, Nottz, Jake One, and Mr Porter.  PRE-ORDER ""LAYERS"" THE NEW ALBUM FROM ROYCE 5'9 DROPPING 4-15!",130518,,414374,1,2676,90,03/29/2016,Trust The Shooter,12,1083091
IAmMixtapes,Birdman & Mack Maine,Bronze,sponsored,New mixtape from YMCMB's Birdman & Mack Maine,40563,Dj Khaled & DJ Folk,64616,1,135,89,11/01/2011,Billionaire Minds,14,204456
IAmMixtapes,Mark Battles,Bronze,exclusive,,40574,DJ Champ,29962,1,147,93,11/10/2012,Saturday School,17,149041
R3llR0ck,Childish Gambino,Bronze,sponsored,"Released 11/7 this mixtape was made in support of Childish Gambino and his new album CAMP - Released on 11/15.

This isn't you ordinary Mixtape. This Mixtape was saved from a live ""on-the-spot"" mix by both DJ Enigma + DJ PMAK - then finalized through Pro Tools to give the best DJ Experience.

SUPPORT!
www.iamdonald.com
soundcloud.com/childish-gambino
soundcloud.com/beatmurkaz
soundcloud.com/r3llr0ck",40587,Beatmurkaz Entertainment,42904,0,85,81,11/09/2011,I Am Just A Rapper 3,18,239079
moneybaggyo,Moneybagg Yo,Bronze,sponsored,"**RE UP** of Moneybagg Yo's 2015 mixtape ""Federal""",40597,,94655,1,313,86,08/10/2017,Federal (2015),16,257070
Da_ChiiNk,King Louie,Bronze,sponsored,"New mixtape from King Louie ""Showtime"" hosted by Trap-A-Holics, DJ Twin & DJ Victoriouz . Follow him @KingL",40608,"Trap-A-Holics, DJ Twin & DJ Victoriouz",44905,1,85,99,07/09/2012,Showtime,22,184398
flybeats09,Skippa Da Flippa,Bronze,sponsored,"New mixtape from Skippa Da Flippa ""Im Havin"" Hosted by DJ Lil Keem, DJ Victoriouz",40615,DJ Lil Keem & DJ Victoriouz,88290,1,238,95,12/03/2014,Im Havin,18,220510
miamiu15,"Clipse, Re-up Gang",Bronze,,,40626,DJ Drama,105313,1,204,98,02/05/2008,We Got It For Cheap Volume 3,18,281483
flybeats09,Verse Simmonds,Bronze,sponsored,"New mixtape from Verse Simmonds ""F*ck Your Feelings 3""",40654,Dj Spinatik & Dj Genius,114392,1,43,88,07/15/2015,F*ck Your Feelings 3,14,255882
nore,N.O.R.E,Bronze,exclusive,"New album from N.O.R.E ""Drunk Uncle"" available NOW exclusively on DatPiff.  Extended cut available on iTunes now:",40662,,147726,1,728,82,03/27/2016,Drunk Uncle,23,380872
hustlehearted,Young Scooter,Bronze,sponsored,,40716,BMG,207579,1,709,91,02/23/2018,Trippple Cross,14,350065
IAmMixtapes,Raheem DeVaughn,Bronze,exclusive,"Three Time Grammy Nominated Recording Artist, Raheem Devaughn, Presents His 11th Mixtape Release ""Heemy Taught Me"". Hosted by DC's DJ Money, ""Heemy Taught Me"", is a collection of Raheem's Greatest Slow Jams From His Previously Released Albums, ""The Love Experience"", ""Love Behind The Melody"", and ""The Love & War Masterpeace"". The self proclaimed ""R&B Hippie Neo-Soul Rock Star"" is currently at work on his fourth studio album titled, ""A Place Called Loveland"". Look out for a new mixtape titled ""Jackin 4 Beats:Vol.2"" hosted by DJ Sense of The Aphilliates as part of the Rhythm & Streets series.",40730,DJ Money,58995,1,242,93,04/06/2011,Heemy Taught Me,16,210013
IAmMixtapes,Pac Div,Bronze,sponsored,,40815,,36475,1,162,97,04/27/2010,Dont Mention It,13,158441
loadedLux,Loaded Lux,Bronze,exclusive,"Features by Jadakiss, Redman, Fred da Godson, Bun B, Trae the Truth, Method Man, Wyclef etc...",40825,Shaquille O'Neal,54830,1,166,98,09/03/2013,You Gon Get This Work,18,211784
Share,Lil Wayne,Bronze,,,40841,DJ Whiteowl,277016,0,100,91,03/03/2008,New Orleans Nightmare Vol 10,23,393149
TGLIFESTYLEE,ASAP Rocky,Bronze,,"@TGLIFESTYLE hosts an ASAP Rocky fan mixtape entitled ""Trill"" with special hosts @HarisAmilli and @PitPanther01.  This mixtape includes previously released tracks, most of which are features in which Rocky was in.  Special hosts freshnewmixtapes.net, asaprocky.org and freshwaterlifestyle.",40862,TGLIFESTYLE,57741,0,84,95,06/05/2012,Trill,15,253756
24_hrmixtapes,Various RNB Artists ,Bronze,,"HIPHOPCENTRALMIXTAPES & 24HR_MIXTAPES PRESENTS: The 90'S RNB EDITION vol 1 ( FEATURING- MARY J BLIGE, R KELLY, JODECI, SWV, MARIAH CAREY, MONIFAH, H TOWN AND MANY MORE",40871,HIPHOPCENTRALMIXTAPES & 24HR_MIXTAPES,81628,0,274,94,07/28/2013,The 90's Rnb Edition Vol 1,18,236218
Share,Royce Da 5'9,Bronze,sponsored,,40910,DJ Green Lantern,64109,1,328,97,09/20/2008,The Bar Exam 2,22,234705
xalence,DJ Kay Slay,Bronze,exclusive,,40972,Dj Kay Slay,155098,1,597,80,02/15/2016,50 Shades Of Slay,17,399414
flybeats09,Various Artists,Bronze,exclusive,"HipHopEarly.com x DatPiff.com present ""Hip Hop Early Vol 18"" hosted by DJ Reddy Rell & DJ 5150. Vol 18 features the hottest tracks out in the past week (Oct 2 - Oct 8). Look out for Vol 19 next week and visit HipHopEarly.com for new music EARLY! Follow @HipHopEarly @DJReddyRell @DJ5150br",40933,"DJ Reddy Rell, DJ 5150 & HipHopEarly.com",43717,0,44,89,10/09/2012,Hip Hop Early Vol 18,24,179512
Omizzle,Ballout,Bronze,exclusive,New Street Album from Ballout hosted by Trap-A-Holics. Purchase here: http://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Ddigital-music&field-keywords=ballout+from+the+streets,40983,Trap-A-Holics,52347,1,187,73,08/23/2013,Ballout From The Streets,12,203764
gotinstrumental,Instrumentals,Bronze,exclusive,"GotInstrumentals.com presents the compilation instrumental volume 48. Follow @GotInstrumental on twitter for ""5"" more Exclusive BEATS",41032,Got Instrumentals,72429,0,43,79,10/18/2013,Got Instrumentals 48,38,263997
KPReilly02,Bei Maejor,Bronze,exclusive,"Jive Recording Artist Bei Maejor is back with his new Mixtape ""Maejor
Maejor"" Presented by DJ ill Will & DJ Rockstar. ""Don't SLEEP this is
an AMAZING PROJECT!!"" -Ill Will

Follow @BeiMaejor
@Deejayillwill
@RealDJRockstar",41044,DJ ill Will & DJ Rockstar,53559,1,161,94,09/12/2011,MaejorMaejor,20,208158
IAmMixtapes,Webbie,Bronze,sponsored,"New mixtape from Webbie ""Sweet Jones Jr."" hosted by DJ Killa. Follow him @OfficialWebbie",41072,DJ Killa,46759,1,89,79,11/20/2012,Sweet Jones Jr.,13,186733
FiendBassy,Bas,Bronze,sponsored,"Quarter Water Raised Me Vol. II 

5. Love Souvenir - Bas http://bit.ly/11cLzLJ
9. Black & Blue - Bas http://bit.ly/ZmYSJC
14. Attica - Bas http://bit.ly/10UbSkY

The second project from NYC artist Bas. 


Twitter.com/FiendBassy // d@dreamvillerecords.com

SMFBas.com",41115,,56109,1,207,97,05/26/2013,Quarter Water Raised Me Vol. II,16,197484
DJPaulKOM36,Da Mafia 6ix,Bronze,sponsored,"DJ Paul KOM presents Da Mafia 6ix (DJ Paul, Gangsta Boo, Crunchy Black, Lord Infamous, Koopsta Knicca) 6ix Commandments Mixtape, hosted by Trap-A-Holics. Featuring 8ball & MJG, Yelawolf, Lil Wyte, SpaceGhostPurrp, Bizzy Bone, Krayzie Bone, The Outlawz, La Chat, Skinny Pimp and MORE!",41158,Trap-A-Holics,37033,1,213,98,11/12/2013,6ix Commandments,12,184451
804JON,The Game,Bronze,,"DJ Jon804 Presents: The Game - Menace2Society (Mixtape) featuring. guest mixes from DJ Twigg, DJ Invasion, DJ Lucher and More ! for more, follow me on Twitter/@Jon804",41160,@Jon804,110928,0,48,88,06/02/2015,Menace 2 Society ,20,186237
Gloobmktg,Keke Palmer,Bronze,sponsored,"Keke Palmer's self-titled mixtape, KEKE PALMER is now available for download.",41255,,40340,1,162,94,10/01/2012,Keke Palmer,8,241644
Share,Busta Rhymes,Bronze,,,41269,J Dilla,81605,1,199,96,11/29/2007,Dillagence,17,267212
OfficialSpitta,Curren$y,Bronze,sponsored,,41281,,206972,1,1120,90,08/30/2018,Fire In The Clouds,12,377181
MikePrat,"Rick Ross, T.I.",Bronze,sponsored,"Rick Ross, T.I., 2 Chainz, Mike Prat, Meek Mill, Jay Z, Kanye West, Young Jeezy, Future, Tyrese, Faith Evans, Maino, Meek Mill, Nicki Minaj, Nelly, The Game, 50 Cent, Mary J Blige",41345,"Mike Prat, Worldwide Legacy",44487,0,83,93,01/06/2012,Hustlers Paradise ,21,148389
txlseries2,Various Artists,Bronze,,We Consistently Update Our Fans With Our Top Picks From The Latest 300 Hip Hop Songs...Check Out Our Latest List On Volume 99! For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow @DJReddyRell @TheDJIceberg @HipHopTXL !,41254,@DJReddyRell x @TheDJIceberg x @HipHopTXL,307098,0,450,86,07/24/2018,Hip Hop TXL Vol 100,83,471249
karlkani,YNW Melly,Bronze,,,41354,,298749,1,1249,79,01/18/2019,We All Shine,16,511259
TedThaBear,Travi$ Scott,Bronze,,"Travi$ Scott delivers us a free album entitled ""Owl Pharaoh"". Containing features from Meek Mill, A$AP Ferg, Paul Wall and more. To keep up with the G.O.O.D. music and Hustle Gang member follow him on @trvisXX",41370,N/A,131483,0,808,99,05/21/2013,Owl Pharaoh,13,336328
flybeats09,Raekwon,Bronze,exclusive,"Raekwon presents ""We Wanna Thank You"" Throwback Thursday Series Vol. 1",41407,,43826,1,109,98,10/31/2014,We Wanna Thank You,20,187186
Basedon32,Yung Lean,Bronze,,☹ sadboys/emotionalboys/arizonaicedoutboys ☹,41412,Dj Emotional,21549,0,149,100,05/24/2013,Sadboys2001,11,165289
Dat_Boy_Stone,Slim Thug,Bronze,sponsored,"Slim Thug drops his 3rd installment of his ""Thug Thursday"" mixtape series",41423,,128457,1,467,86,07/14/2016,Thug Thursday 3,20,272347
DJMRFX109,AZ,Bronze,exclusive,New mixtape from AZ hosted by DJ Mr. FX,41426,DJ Mr. FX (Of The Untouchables),57714,1,180,97,06/04/2013,L.O.D.B (Last Of A Dying Breed),21,193667
IAmMixtapes,Ron Browz,Bronze,exclusive,"New Instrumental mixtape from Ron Browz ""Ron Browz Instrumentals Vol. 1""",41436,,178802,1,206,74,11/23/2012,Ron Browz Instrumentals Vol 1,36,336744
flybeats09,Young Dro,Bronze,sponsored,"New mixtape from Young Dro ""Hell Cat""",41454,DJ Tokars & DJ Ric Flare,130269,1,85,82,08/06/2015,Hell Cat,9,283366
Da_ChiiNk,Project Pat,Bronze,sponsored,"New mixtape from Project Pat ""Cheez N Dope 2"" hosted by DJ Scream",41450,DJ Scream,54503,1,167,96,09/06/2013,Cheez N Dope 2,26,184663
AloxNJ,Killa Kyleon,Bronze,sponsored,New mixtape from Killa Kyleon hosted by DJ Rapid Ric. Follow on twitter: www.twitter.com/KillaKyleon,41475,DJ Rapid Ric,54484,1,195,97,09/01/2011,Candy Paint N Texas Plates 2,21,181176
IAmMixtapes,Verse Simmonds,Silver,exclusive,"New mixtape from Verse Simmonds ""Sex Love & Hip Hop"" Hosted by DJ Drama. Follow on twitter @VerseSimmonds @DJDrama @DatPiffmixtapes",71514,DJ Drama,99277,1,217,93,04/12/2012,Sex Love & Hip Hop,12,406137
TXLmixtapes2,Various Artists,Bronze,,For all Hip Hop TXL inquires contact: TXLreview@gmail.com. Follow @HipHopTXL @DJReddyRell @TheDJIceberg. Cover Design By @KidEight. [Deleted at 40k+ downloads],41484,"DJ Reddy Rell, DJ Iceberg, Hip Hop TXL",190721,0,309,86,02/12/2016,Hip Hop TXL Vol 76,56,393076
flybeats09,Waka Flocka,Silver,sponsored,New mixtape from Waka Flocka hosted by Trap-A-Holics & DJ Spinz,71582,Trap-A-Holics & DJ Spinz,146826,1,416,77,10/22/2011,Lebron Flocka James 3,22,342643
IAmMixtapes,Trae Tha Truth,Silver,exclusive,"New mixtape from Trae Tha Truth ""King of the Streets: Freestyles"" Hosted by Don Cannon.",71696,Don Cannon,90808,1,226,94,01/17/2012,King Of The Streets: Freestyles,20,389498
flybeats09,Rittz,Silver,sponsored,New mixtape from Rittz hosted by DJ Burn One,71866,DJ Burn One,76688,1,505,98,03/08/2012,White Jesus: Revival,17,302160
LilBtheBasedGod,Lil B X Chance The Rapper ,Silver,exclusive,"collect this art!!!!!
- Lil B",71920,,179765,1,632,90,08/05/2015,Free (The Based Freestyle Mixtape),6,505517
KPReilly02,Gucci Mane,Silver,sponsored,"New EP from Gucci Mane ""Views From Zone 6""",71979,,111743,1,201,88,02/18/2015,Views From Zone 6 (EP),8,403954
ReddyRell,Various Artists,Silver,exclusive,Hip Hop TXL presents @HipHopTXL Vol 26 hosted by @DJReddyRell. Vol 26 features the dopest tracks out (Oct 18 - Oct 31) & includes TXL Artist Premieres from @MAADMaxXx @DaKingShark @Same_DNA @TabiusTate @D2_Gang @GotInstrumental. Cover Art by @A1Sosa. Follow @HipHipTXL (via Twitter) and SUBMIT YOUR SONG for possible song placement.,71980,DJ Reddy Rell,82491,0,67,84,11/01/2013,Hip Hop TXL Vol 26,41,349162
VADO,Vado,Silver,exclusive,"Vado presents part 2 of ""Sinatra""",72001,,393851,1,1137,90,05/29/2017,Sinatra 2,13,715881
leon 3,Curren$y,Silver,,,72203,,110003,1,295,96,06/19/2008,Fear And Loathing In New Orleans,16,406710
CaseyVeggies,Casey Veggies,Silver,exclusive,"Casey Veggies is back with the 4th installment in his ""Customized Greatly"" mixtape series.  Part 4 includes features from Chris Brown, Tory Lanez, Dom Kennedy, Ty $ and more.",72246,,309396,1,1409,79,05/20/2016,Customized Greatly 4,13,764230
Guccimane,Gucci Mane & Young Thug ,Silver,,"New album from Gucci Mane & Young Thug ""The Purple Album""",72283,,132128,1,352,80,06/18/2014,The Purple Album,12,553158
Guccimane,Gucci Mane & Peewee Longway,Silver,,"New album from Gucci Mane & Peewee Longway ""The White Album""",72328,,102258,1,260,83,06/18/2014,The White Album,13,445929
Share,Joe Budden,Silver,sponsored,Released 2004,72588,DJ On Point,116006,1,258,94,12/30/2005,Mood Muzik: The Worst of Joe Budden,23,369148
flybeats09,Yelawolf & Ed Sheeran,Silver,sponsored,New free EP from Yelawolf & UK singer Ed Sheeran,72807,,74816,1,366,96,02/14/2012,Slumdon Bridge,4,344585
CheckTheNDX,Plies,Silver,sponsored,"With the follow up to January's ""Da Last Real Nigga Left"", Plies stays true to his goon identity.",72643,Big Gates Records,89647,1,174,91,11/13/2014,Da Last Real Nigga Left 2,21,350200
1true2dasouth,Kendrick Lamar,Silver,,"Latest work from Kendrick Lamar new stuff, collabos, freestyles. Follow us at twitter.com/kendricklamar and twitter.com/DjFlipcyide",72929,DJ Flipcyide,118098,0,126,94,07/14/2013,Kendrication,19,497735
lildurk,Lil Durk,Silver,,"New mixtape from Lil Durk  ""Just Cause Yall Waited"" available now on DatPiff!",72958,OTF,497828,1,2021,83,03/29/2018,Just Cause Yall Waited,12,879989
reggielcollier,"Chris Brown, R. Kelly, Trey Songz, Usher",Silver,sponsored,"Slow Jam Mixtape with hits from Chris Brown, R. Kelly, Trey Songz, & Usher ....... who has the most slow jam hits???????

Download full mixtape @ http://www.mediafire.com/?tm64d8rsru8w6z2 
***** @reggthedj *****",72989,Dj Regg,96526,0,265,96,02/08/2011,4 Play 4 Valentine's Day (Chris Brown Vs. R. Kelly Vs. Trey Songz Vs. Usher) ,30,330061
YUNGSAV305,Lil Peep,Silver,sponsored,NEW LIL PEEP MIXTAPE,73031,,266520,1,1818,87,09/26/2016,Hellboy,16,657321
flybeats09,Young Scooter,Silver,sponsored,"New mixtape from Young Scooter ""Married To The Streets 2"" including Waka Flocka, Boosie Badazz, Future, Young Buck, Young Thug, and many more",73040,,227662,1,192,88,11/03/2015,Married To The Streets 2,14,444216
Share,Cam'ron,Silver,sponsored,,73121,,295714,1,478,92,11/08/2007,Public Enemy #1,38,524505
flybeats09,Pac Div,Silver,sponsored,New mixtape from Pac Div hosted by Don Cannon,73130,Don Cannon,80605,1,364,98,03/07/2011,Mania,14,269904
Share,G-Unit,Silver,sponsored,,73231,DJ Whoo Kid,235581,1,629,97,02/04/2008,Return Of The Body Snatchers - Thisis50 Vol 1,16,450767
flybeats09,Rich The Kid,Silver,sponsored,"New mixtape from Rich the Kid ""Trap Talk"" available now!",73231,QC,346234,1,931,83,04/19/2016,Trap Talk,13,612444
flybeats09,Tory Lanez,Silver,sponsored,"New 5 track project from Tory Lanez ""Cruel Intentions"" with production from Shlomo, RL Grime & more.",73238,,264860,1,695,94,06/30/2015,Cruel Intentions,5,595951
DjVictoriouz,Lil Durk,Silver,sponsored,1st Mixtape ima hitta went crazy now we finna flood da streets wit dis #ImStillAHitta mixtape ft da smash single Ls Anthem get in tune stupid!!!!!!!!! #3hunna #OTF @lildurk_,73352,DJ Victoriouz DJ Sean Mack,100319,1,247,92,04/03/2012,#ImStillAHitta,14,410895
